1,"New York","New York\"
2,"Los Angeles","California\"
3,"Chicago","Illinois\"
4,"Miami","Florida\"
5,"Dallas","Texas\"
6,"Philadelphia","Pennsylvania\"
7,"Houston","Texas\"
8,"Atlanta","Georgia\"
9,"Washington","District of Columbia\"
10,"Boston","Massachusetts\"
11,"Phoenix","Arizona\"
12,"Seattle","Washington\"
13,"San Francisco","California\"
14,"Detroit","Michigan\"
15,"San Diego","California\"
16,"Minneapolis","Minnesota\"
17,"Tampa","Florida\"
18,"Denver","Colorado\"
19,"Brooklyn","New York\"
20,"Queens","New York\"
21,"Riverside","California\"
22,"Baltimore","Maryland\"
23,"Las Vegas","Nevada\"
24,"Portland","Oregon\"
25,"San Antonio","Texas\"
26,"St. Louis","Missouri\"
27,"Sacramento","California\"
28,"Orlando","Florida\"
29,"San Jose","California\"
30,"Cleveland","Ohio\"
31,"Pittsburgh","Pennsylvania\"
32,"Austin","Texas\"
33,"Cincinnati","Ohio\"
34,"Kansas City","Missouri\"
35,"Manhattan","New York\"
36,"Indianapolis","Indiana\"
37,"Columbus","Ohio\"
38,"Charlotte","North Carolina\"
39,"Virginia Beach","Virginia\"
40,"Bronx","New York\"
41,"Milwaukee","Wisconsin\"
42,"Providence","Rhode Island\"
43,"Jacksonville","Florida\"
44,"Salt Lake City","Utah\"
45,"Nashville","Tennessee\"
46,"Richmond","Virginia\"
47,"Memphis","Tennessee\"
48,"Raleigh","North Carolina\"
49,"New Orleans","Louisiana\"
50,"Louisville","Kentucky\"
51,"Oklahoma City","Oklahoma\"
52,"Bridgeport","Connecticut\"
53,"Buffalo","New York\"
54,"Fort Worth","Texas\"
55,"Hartford","Connecticut\"
56,"Tucson","Arizona\"
57,"Omaha","Nebraska\"
58,"El Paso","Texas\"
59,"Honolulu","Hawaii\"
60,"McAllen","Texas\"
61,"Albuquerque","New Mexico\"
62,"Birmingham","Alabama\"
63,"Sarasota","Florida\"
64,"Dayton","Ohio\"
65,"Rochester","New York\"
66,"Fresno","California\"
67,"Allentown","Pennsylvania\"
68,"Tulsa","Oklahoma\"
69,"Cape Coral","Florida\"
70,"Concord","California\"
71,"Colorado Springs","Colorado\"
72,"Charleston","South Carolina\"
73,"Springfield","Massachusetts\"
74,"Grand Rapids","Michigan\"
75,"Mission Viejo","California\"
76,"Albany","New York\"
77,"Knoxville","Tennessee\"
